brand_handle,total_brand_tweets,total_thread_tweets,total_threads,avg_thread_length,resolved_threads,unresolved_threads,unknown_threads,pct_resolved
AmazonHelp,169840,374042,82556,4.53,67600,13865,1091,81.88
AppleSupport,106860,238907,80717,2.96,73997,5850,870,91.67
Uber_Support,56270,128550,41923,3.07,37032,4199,692,88.33
SpotifyCares,43265,91889,28280,3.25,26669,1162,449,94.3
AmericanAir,36764,87584,26386,3.32,22015,4132,239,83.43
Delta,42253,87994,26168,3.36,23649,2284,235,90.37
comcastcares,33031,73049,24063,3.04,21740,1950,373,90.35
TMobileHelp,34317,82730,22820,3.63,20608,2009,203,90.31
SouthwestAir,28977,64726,21636,2.99,19239,2222,175,88.92
Ask_Spectrum,25860,59638,18532,3.22,16363,1984,185,88.3
Tesco,38573,73159,16722,4.38,14881,1646,195,88.99
British_Airways,29361,60716,16452,3.69,14440,1818,194,87.77
UPSHelp,17817,44552,15523,2.87,12915,2510,98,83.2
hulu_support,21872,49295,14955,3.3,13867,848,240,92.72
VirginTrains,27817,65810,14853,4.43,11272,3237,344,75.89
ChipotleTweets,18749,41840,14392,2.91,12147,2073,172,84.4
sprintcare,22381,54051,13560,3.99,11488,1990,82,84.72
XboxSupport,24557,57657,13455,4.29,10725,2499,231,79.71
AskPlayStation,19098,43136,12533,3.44,10563,1820,150,84.28
AskTarget,13218,30645,11151,2.75,9403,1566,182,84.32
